회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대
422355072,1,0,72.0,1,0,0,70대이상,331576.0,서울 송파구,기타,1,30,0
422390336,1,0,46.0,0,0,0,40대,55134.0,수지구,풍덕천동,0,2,1
422468288,1,0,66.0,1,0,0,60대,395999.0,수지구,신봉동,1,29,1
422549952,1,0,39.0,0,0,0,30대,3542.0,수지구,동천동,0,1,0
422614912,1,0,51.0,0,0,0,50대,41734.0,처인구,삼가동,0,1,1
422663168,1,0,62.0,0,0,0,60대,182443.0,기타,기타,1,5,1
422694720,1,0,37.0,0,0,0,30대,162533.0,처인구,모현면,0,6,0
422750400,1,0,43.0,0,1,0,40대,84522.0,수지구,신봉동,0,3,1
422820928,1,0,62.0,0,0,0,60대,807595.0,수지구,신봉동,1,41,1
422908160,1,0,46.0,1,0,0,40대,720932.0,수지구,풍덕천동,0,17,1
423032512,1,0,54.0,0,0,0,50대,51594.0,수지구,상현동,0,8,1
423064064,1,0,72.0,0,0,0,70대이상,564945.0,광주,기타,1,32,0
42307520,1,0,53.0,0,0,0,50대,350968.0,기타,기타,0,20,1
423080768,1,0,49.0,0,0,0,40대,19144.0,기타,기타,0,1,1
423084480,1,0,78.0,0,0,0,70대이상,39341.0,기타,기타,1,3,0
423127168,1,0,73.0,0,0,0,70대이상,262005.0,수지구,풍덕천동,1,17,0
423240384,1,0,44.0,0,0,0,40대,196419.0,수지구,상현동,0,8,1
423325760,1,0,56.0,0,0,0,50대,38863.0,수지구,상현동,0,2,1
423479808,1,0,65.0,0,0,0,60대,125682.0,수지구,기타,1,6,1
423485376,1,1,70.0,0,0,0,70대이상,1224842.0,수지구,상현동,1,60,0
423587456,1,0,34.0,0,0,0,30대,192208.0,수원 장안구,기타,0,7,0
423685824,1,0,44.0,0,0,0,40대,83755.0,수지구,풍덕천동,0,4,1
423878848,1,0,60.0,0,0,0,60대,899739.0,수지구,풍덕천동,1,58,1
42402176,1,0,48.0,0,0,0,40대,109050.0,기타,기타,0,11,1
424075584,1,0,43.0,0,0,0,40대,89938.0,수지구,신봉동,0,6,1
424118272,1,0,54.0,0,0,0,50대,1830005.0,수지구,신봉동,0,52,1
424326144,1,0,41.0,0,0,0,40대,1749497.0,기흥구,보정동,0,49,1
424359552,1,0,44.0,0,1,0,40대,41161.0,수지구,성복동,0,4,1
424385536,1,0,51.0,0,0,0,50대,104780.0,수지구,풍덕천동,0,7,1
424521024,1,0,32.0,0,0,0,30대,40393.0,기흥구,신갈동,0,3,0
424643520,1,0,50.0,0,0,0,50대,42174.0,수지구,동천동,0,8,1
424676928,1,0,59.0,0,0,0,50대,3784577.0,수지구,성복동,0,75,1
42474560,1,0,50.0,0,1,0,50대,1093660.0,수지구,동천동,0,56,1
424829120,1,0,53.0,0,0,0,50대,24600.0,기타,기타,0,1,1
424886656,1,0,81.0,0,0,0,70대이상,215372.0,수지구,신봉동,1,10,0
425259712,1,0,70.0,1,0,0,70대이상,908102.0,수지구,신봉동,1,29,0
425263424,1,0,48.0,0,0,0,40대,5073.0,분당구,수내동,0,1,1
425367360,1,0,54.0,0,0,0,50대,16368.0,수지구,신봉동,0,2,1
425836928,1,0,46.0,0,0,0,40대,45372.0,수지구,상현동,0,2,1
426026240,1,0,43.0,0,0,0,40대,90360.0,서울 송파구,기타,0,4,1
426039232,1,0,57.0,0,1,0,50대,31779.0,수원 영통구,기타,0,2,1
426506944,1,0,70.0,0,0,0,70대이상,266506.0,수지구,풍덕천동,1,16,0
426523648,1,0,59.0,0,1,0,50대,16866.0,수지구,풍덕천동,0,1,1
427115712,1,0,47.0,0,0,0,40대,41639.0,수지구,동천동,0,8,1
