회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
199520000,1.0,2.0,4.0,7.0,0.14,0.29,0.57
200193728,1.0,0.0,0.0,1.0,1.0,0.0,0.0
200234560,0.0,4.0,0.0,4.0,0.0,1.0,0.0
200564928,2.0,2.0,1.0,5.0,0.4,0.4,0.2
200743104,0.0,0.0,1.0,1.0,0.0,0.0,1.0
201570880,0.0,2.0,0.0,2.0,0.0,1.0,0.0
203291392,4.0,1.0,0.0,5.0,0.8,0.2,0.0
204041216,0.0,15.0,0.0,15.0,0.0,1.0,0.0
204044928,1.0,1.0,1.0,3.0,0.33,0.33,0.33
204718656,0.0,1.0,0.0,1.0,0.0,1.0,0.0
205117696,1.0,10.0,2.0,13.0,0.08,0.77,0.15
205329280,1.0,1.0,0.0,2.0,0.5,0.5,0.0
206190464,3.0,11.0,3.0,17.0,0.18,0.65,0.18
206596928,3.0,9.0,2.0,14.0,0.21,0.64,0.14
207408000,0.0,3.0,0.0,3.0,0.0,1.0,0.0
207489664,0.0,0.0,1.0,1.0,0.0,0.0,1.0
207736512,0.0,1.0,0.0,1.0,0.0,1.0,0.0
207897984,0.0,2.0,2.0,4.0,0.0,0.5,0.5
208176384,4.0,19.0,6.0,29.0,0.14,0.66,0.21
208321152,0.0,1.0,1.0,2.0,0.0,0.5,0.5
209419904,2.0,1.0,1.0,4.0,0.5,0.25,0.25
210307072,16.0,13.0,1.0,30.0,0.53,0.43,0.03
210969664,0.0,1.0,0.0,1.0,0.0,1.0,0.0
211049472,6.0,1.0,0.0,7.0,0.86,0.14,0.0
211274048,4.0,8.0,0.0,12.0,0.33,0.67,0.0
213603328,0.0,0.0,14.0,14.0,0.0,0.0,1.0
213731392,0.0,1.0,0.0,1.0,0.0,1.0,0.0
213872448,2.0,3.0,2.0,7.0,0.29,0.43,0.29
215583680,0.0,3.0,1.0,4.0,0.0,0.75,0.25
215841664,2.0,1.0,0.0,3.0,0.67,0.33,0.0
216476416,0.0,16.0,1.0,17.0,0.0,0.94,0.06
217077760,2.0,11.0,0.0,13.0,0.15,0.85,0.0
218091136,0.0,5.0,1.0,6.0,0.0,0.83,0.17
218480896,1.0,0.0,1.0,2.0,0.5,0.0,0.5
220748928,0.0,0.0,2.0,2.0,0.0,0.0,1.0
221081152,1.0,0.0,0.0,1.0,1.0,0.0,0.0
221101568,1.0,3.0,1.0,5.0,0.2,0.6,0.2
221441216,0.0,1.0,0.0,1.0,0.0,1.0,0.0
222051840,3.0,1.0,2.0,6.0,0.5,0.17,0.33
222473152,0.0,1.0,1.0,2.0,0.0,0.5,0.5
222495424,0.0,0.0,1.0,1.0,0.0,0.0,1.0
223189568,4.0,12.0,16.0,32.0,0.12,0.38,0.5
223390016,12.0,7.0,3.0,22.0,0.55,0.32,0.14
224004352,10.0,18.0,2.0,30.0,0.33,0.6,0.07
224932352,1.0,0.0,0.0,1.0,1.0,0.0,0.0
225312832,7.0,5.0,6.0,18.0,0.39,0.28,0.33
225452032,0.0,4.0,2.0,6.0,0.0,0.67,0.33
225609792,0.0,1.0,0.0,1.0,0.0,1.0,0.0
225875200,7.0,0.0,0.0,7.0,1.0,0.0,0.0
226638016,0.0,13.0,8.0,21.0,0.0,0.62,0.38
226914560,2.0,13.0,3.0,18.0,0.11,0.72,0.17
227610560,0.0,0.0,1.0,1.0,0.0,0.0,1.0
229217856,2.0,7.0,0.0,9.0,0.22,0.78,0.0
229527808,0.0,0.0,2.0,2.0,0.0,0.0,1.0
