회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
1202337216,2.0,4.0,7.0,13.0,0.15,0.31,0.54
1203105600,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1203745920,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1205240000,1.0,1.0,0.0,2.0,0.5,0.5,0.0
1205846912,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1207478336,1.0,5.0,1.0,7.0,0.14,0.71,0.14
1208703296,3.0,0.0,0.0,3.0,1.0,0.0,0.0
1209003968,20.0,52.0,12.0,84.0,0.24,0.62,0.14
1209488384,4.0,16.0,12.0,32.0,0.12,0.5,0.38
1210830272,0.0,22.0,0.0,22.0,0.0,1.0,0.0
1211004736,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1211550400,28.0,15.0,3.0,46.0,0.61,0.33,0.07
1212957248,0.0,2.0,1.0,3.0,0.0,0.67,0.33
1213283904,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1214063424,0.0,10.0,3.0,13.0,0.0,0.77,0.23
1216890112,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1217274304,0.0,2.0,1.0,3.0,0.0,0.67,0.33
1219993344,3.0,12.0,12.0,27.0,0.11,0.44,0.44
1220984448,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1221611776,1.0,5.0,3.0,9.0,0.11,0.56,0.33
1222378304,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1223009344,1.0,8.0,3.0,12.0,0.08,0.67,0.25
1224035712,1.0,3.0,0.0,4.0,0.25,0.75,0.0
1224351232,4.0,11.0,5.0,20.0,0.2,0.55,0.25
1225036096,12.0,44.0,1.0,57.0,0.21,0.77,0.02
1227419200,12.0,32.0,10.0,54.0,0.22,0.59,0.19
1227452608,0.0,6.0,3.0,9.0,0.0,0.67,0.33
1227831232,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1228898432,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1229260352,2.0,5.0,0.0,7.0,0.29,0.71,0.0
1229312320,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1230407360,2.0,0.0,0.0,2.0,1.0,0.0,0.0
1231945984,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1232480512,0.0,4.0,1.0,5.0,0.0,0.8,0.2
1235132736,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1235179136,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1235815744,1.0,9.0,2.0,12.0,0.08,0.75,0.17
1237990976,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1238341760,2.0,10.0,16.0,28.0,0.07,0.36,0.57
1238898560,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1239167680,2.0,0.0,0.0,2.0,1.0,0.0,0.0
1239568576,3.0,5.0,2.0,10.0,0.3,0.5,0.2
1240240448,0.0,14.0,5.0,19.0,0.0,0.74,0.26
1240427904,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1241402304,3.0,4.0,1.0,8.0,0.38,0.5,0.12
1242248640,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1242723776,2.0,1.0,1.0,4.0,0.5,0.25,0.25
1244227136,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1244711552,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1246122112,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1246159232,12.0,10.0,1.0,23.0,0.52,0.43,0.04
1247142912,3.0,5.0,5.0,13.0,0.23,0.38,0.38
1248250944,1.0,5.0,2.0,8.0,0.12,0.62,0.25
1248505216,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1248657408,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1248783616,4.0,1.0,0.0,5.0,0.8,0.2,0.0
1248887552,1.0,9.0,0.0,10.0,0.1,0.9,0.0
1248963648,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1250095808,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1250550528,39.0,6.0,6.0,51.0,0.76,0.12,0.12
1251055360,1.0,5.0,4.0,10.0,0.1,0.5,0.4
1251872000,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1253423616,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1254049088,0.0,0.0,5.0,5.0,0.0,0.0,1.0
1254702400,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1255277760,1.0,2.0,4.0,7.0,0.14,0.29,0.57
1255801152,4.0,7.0,2.0,13.0,0.31,0.54,0.15
1257315648,1.0,1.0,0.0,2.0,0.5,0.5,0.0
1258507200,9.0,9.0,12.0,30.0,0.3,0.3,0.4
1259325696,0.0,2.0,1.0,3.0,0.0,0.67,0.33
1259576256,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1261619712,3.0,1.0,0.0,4.0,0.75,0.25,0.0
1262167232,1.0,13.0,6.0,20.0,0.05,0.65,0.3
1262375104,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1263262272,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1263483136,1.0,1.0,1.0,3.0,0.33,0.33,0.33
1263691008,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1263824640,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1264054784,0.0,3.0,1.0,4.0,0.0,0.75,0.25
1264977216,0.0,4.0,3.0,7.0,0.0,0.57,0.43
1265094144,2.0,8.0,5.0,15.0,0.13,0.53,0.33
1265340992,0.0,4.0,0.0,4.0,0.0,1.0,0.0
1265736320,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1266423040,0.0,5.0,2.0,7.0,0.0,0.71,0.29
1266974272,1.0,1.0,0.0,2.0,0.5,0.5,0.0
1267028096,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1267759360,2.0,7.0,4.0,13.0,0.15,0.54,0.31
1267761216,2.0,2.0,1.0,5.0,0.4,0.4,0.2
1273462848,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1274589440,0.0,4.0,0.0,4.0,0.0,1.0,0.0
1274741632,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1275305856,0.0,12.0,1.0,13.0,0.0,0.92,0.08
1276890880,1.0,5.0,0.0,6.0,0.17,0.83,0.0
1279695296,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1280359744,0.0,4.0,8.0,12.0,0.0,0.33,0.67
1280372736,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1280931392,10.0,18.0,8.0,36.0,0.28,0.5,0.22
1282141504,4.0,2.0,0.0,6.0,0.67,0.33,0.0
1282477440,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1282494144,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1284298176,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1284314880,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1284457792,0.0,8.0,4.0,12.0,0.0,0.67,0.33
1284793728,2.0,1.0,6.0,9.0,0.22,0.11,0.67
1285215040,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1285545408,10.0,20.0,5.0,35.0,0.29,0.57,0.14
1289439296,1.0,37.0,23.0,61.0,0.02,0.61,0.38
1290508352,3.0,9.0,1.0,13.0,0.23,0.69,0.08
1290675392,10.0,23.0,2.0,35.0,0.29,0.66,0.06
1291139392,1.0,4.0,2.0,7.0,0.14,0.57,0.29
1291764864,1.0,5.0,5.0,11.0,0.09,0.45,0.45
1293695104,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1293774912,1.0,1.0,0.0,2.0,0.5,0.5,0.0
1293891840,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1296115328,1.0,2.0,2.0,5.0,0.2,0.4,0.4
1297292032,0.0,2.0,4.0,6.0,0.0,0.33,0.67
1297440512,1.0,2.0,0.0,3.0,0.33,0.67,0.0
1302078656,3.0,2.0,0.0,5.0,0.6,0.4,0.0
1302201152,10.0,12.0,7.0,29.0,0.34,0.41,0.24
1303587584,3.0,2.0,2.0,7.0,0.43,0.29,0.29
1307362688,6.0,9.0,1.0,16.0,0.38,0.56,0.06
1310920640,3.0,3.0,0.0,6.0,0.5,0.5,0.0
1311531264,0.0,4.0,1.0,5.0,0.0,0.8,0.2
1311831936,1.0,4.0,0.0,5.0,0.2,0.8,0.0
1311896896,10.0,23.0,0.0,33.0,0.3,0.7,0.0
1312681984,0.0,3.0,3.0,6.0,0.0,0.5,0.5
1312810048,1.0,2.0,0.0,3.0,0.33,0.67,0.0
1315016832,3.0,11.0,22.0,36.0,0.08,0.31,0.61
1315122624,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1315191296,4.0,8.0,6.0,18.0,0.22,0.44,0.33
